county,2018,2019,2020,2021,2022
Alameda,32.918475,37.1709315,28.094045,22.9912215,20.868125
Butte,11860.199999999999,20556.36,79.2,12457.6107368,32954.252834
Calaveras,0.3166165,0,0,0,0
Colusa,396,8632.8,283.14,0,0
Contra Costa,1.357176,5.4631134999999995,1.4777045,3.0157214999999997,1.2069254999999999
El Dorado,0.185625,0,0,0,0
Fresno,134065.846705,141297.1328369,95221.5833736,80857.2904748,124705.0745888
Glenn,483.78,0,2257.2,0,6336
Imperial,19389.0473775,4253.5,0,0,0
Kern,260052.2434566,263420.4321,200773.5171,175796.9952,96276.6743148
Kings,35361.573048,26198.4259584,25938.910799999998,9478.5372,7895.844
Lassen,2316.336,19228.412,24020.13,2448.848,26061.223
Los Angeles,67.125663,9.295803,0,17.5125825,0
Madera,69763.3729548,81532.3014,24278.243576,11338.8858,3244.824
Marin,0.4253125,1.130381,0.3015625,0,0.361875
Mendocino,0,0,0,0,0.24125
Merced,124380.050129,161245.3679724,224507.8105992,159352.6286152,143886.3234349
Monterey,1538614.4694587,2116519.8895961,2243417.0438538,2087156.3069931,2171326.1442054
Napa,1.085625,0.361875,0.4825,0.120625,0
Orange,37776.284,40033.0975567,49619.9617332,26750.4115321,35190.7097516
Placer,20671.2,12388.395,3286.8,13528.560000000001,3625.44
Riverside,1025.9268246,1882.3412526,6852.1830158,1.616079,10567.065482
Sacramento,1.2375,0,0,0,10884.7134
San Benito,1520.8079455,5623.4146336,18207.2180714,2373.8434581,7025.8352146
San Bernardino,6.294321,15.260058,0,2.04633,0
San Diego,84311.6426466,87386.7028453,77394.5321714,68992.8866552,75259.1712848
San Francisco,0,0,0,0.24125,0.844375
San Joaquin,160407.308563,163938.20274100002,185772.14268699999,180226.1472,214139.5775051
San Luis Obispo,643298.1905664,591639.0547892,616587.6226036,715830.5534048,592951.7429937
San Mateo,31.8672295,8.585798,11.248619,13.012445999999999,7.991550999999999
Santa Barbara,1276458.546515,1402589.2762022,1670828.5477022,1937520.2505465,2024592.2987758
Santa Clara,57455.6522741,34234.8429406,48666.7999945,28050.8998326,26592.4783953
Santa Cruz,488801.0807623,618744.6332352,585643.7931613,625744.3376897,554419.3567254
Shasta,29890.8115842,29458.752,23959.5025268,17345.71356,17924.606
Siskiyou,318649.60970000003,268436.327,296645.2516,368783.6231,430099.76263
Solano,2302.0454790999997,2985.635462,4332.5317684,1519.4556854,1878.6262212
Sonoma,4800.1147235,4.7252215,1.4475965,1.7490625,1.7038039999999999
Stanislaus,91382.3223,143492.8527675,105340.2340137,94033.3367535,86630.7311449
Sutter,21555.7023,29525.76,19137.117130399998,3025.4197116,28810.9215739
Tehama,47857.938,73319.085,22305.199,22437.569,28232.007999999998
Tulare,73231.9182232,39186.6734033,42693.5179552,65135.7626764,38166.7572
Ventura,1662367.9155777,1484828.8228339,1564596.9265006,1702667.487199,1803970.046874
Yolo,780.429375,4828.5282816,15280.155,104.23444,17761.2591168
Yuba,34352.01,35135.1,21659.22,38771.3235168,3894.2587368
Alpine,0,0,0,0,0
Amador,0,0,0,0,0
Del Norte,0,0,0,0,0
Humboldt,0,0,0,0,0
Inyo,0,0,0,0,0
Lake,0,0,0,0,0
Mariposa,0,0,0,0,0
Modoc,0,0,0,0,0
Mono,0,0,0,0,0
Nevada,0,0,0,0,0
Plumas,0,0,0,0,0
Sierra,0,0,0,0,0
Trinity,0,0,0,0,0
Tuolumne,0,0,0,0,0
