cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,pounds_13d_intersection
56725465634761,Active,No,Traditional,High School,Public,Rio Mesa High,Oxnard Union High,Ventura,545 Central Avenue,Oxnard,CA,No,1,9-12,9-12,36978.03498166899
08618206005458,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Smith River Elementary,Del Norte County Unified,Del Norte,134 First Street,Smith River,CA,No,1,K-8,K-8,23792.78315211244
27661916102925,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Gavilan View Middle,Santa Rita Union Elementary,Monterey,18250 Vab Buren Avenue,Salinas,CA,No,1,6-8,6-8,23219.408681766425
27738252730034,Active,No,Traditional,High School,Public,North Monterey County High,North Monterey County Unified,Monterey,13990 Castroville Boulevard,Castroville,CA,No,1,9-12,9-12,19154.93748312106
56105615630223,Active,No,Juvenile Court School,High School,Public,Providence,Ventura County Office of Education,Ventura,4333 Vineyard Avenue,Oxnard,CA,No,1,K-12,9-12,18788.44765196622
15735446010011,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rio Bravo-Greeley Elementary,Rio Bravo-Greeley Union Elementary,Kern,6601 Enos Lane,Bakersfield,CA,Yes,2,5-8,5-8,17986.061662534805
15735446117816,Active,No,Traditional,Elementary,Public,Rio Bravo Elementary,Rio Bravo-Greeley Union Elementary,Kern,22725 Elementary Lane,Bakersfield,CA,Yes,2,K-4,K-4,17986.061662534805
24656316113161,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Peggy Heller Elementary,Atwater Elementary,Merced,201 Lake View Drive,Atwater,CA,No,1,K-8,K-8,15190.944415666881
50711750121129,Active,No,Traditional,High School,Public,Joseph A. Gregori High,Modesto City High,Stanislaus,3701 Pirrone Road,Modesto,CA,No,1,9-12,9-12,14890.516067287306
39686506109284,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Colony Oak Elementary,Ripon Unified,San Joaquin,22241 South Murphy Road,Ripon,CA,No,1,K-8,K-8,14222.1537606734
27659616025985,Active,No,Traditional,Elementary,Public,Bardin Elementary,Alisal Union,Monterey,425 Bardin Road,Salinas,CA,No,1,K-6,K-6,13839.889576771931
15637686010037,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Semitropic Elementary,Semitropic Elementary,Kern,25300 Highway 46,Wasco,CA,No,1,K-8,K-8,12717.788552092694
42691206045272,Active,No,Traditional,Elementary,Public,Bonita Elementary,Santa Maria-Bonita,Santa Barbara,2715 West Main Street,Santa Maria,CA,No,1,K-6,K-6,11875.892935622953
50736016025712,Active,No,Traditional,Elementary,Public,Bonita Elementary,Newman-Crows Landing Unified,Stanislaus,425 Fink Road,Crows Landing,CA,No,1,K-5,K-5,11545.581579705877
50712826053078,Active,No,Traditional,Elementary,Public,Stanislaus Elementary,Stanislaus Union Elementary,Stanislaus,1931 Kiernan Avenue,Modesto,CA,No,1,K-6,K-6,11169.35694951367
24737266025803,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Washington Elementary,Merced River Union Elementary,Merced,4402 West Oakdale Road,Winton,CA,No,1,P-8,K-8,11077.919264632408
44697996108138,Active,No,Traditional,Elementary,Public,Ohlone Elementary,Pajaro Valley Unified,Monterey,21 Bay Farms Road,Watsonville,CA,No,1,K-5,K-5,10016.234934859976
24102492430171,Active,No,County Community School,Intermediate/Middle/Junior High - High Combination,Public,Valley Atwater Community,Merced County Office of Education,Merced,1800 Matthew Avenue,Atwater,CA,No,1,6-12,7-12,9872.782791165986
