cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,pounds_chloropicrin_intersection
56725465634761,Active,No,Traditional,High School,Public,Rio Mesa High,Oxnard Union High,Ventura,545 Central Avenue,Oxnard,CA,No,1,9-12,9-12,177620.9848315237
56725616055495,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rio del Valle Middle,Rio Elementary,Ventura,3100 Rose Avenue,Oxnard,CA,No,1,6-8,6-8,65747.9072509014
27661916102925,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Gavilan View Middle,Santa Rita Union Elementary,Monterey,18250 Vab Buren Avenue,Salinas,CA,No,1,6-8,6-8,64701.35727107616
56105615630223,Active,No,Juvenile Court School,High School,Public,Providence,Ventura County Office of Education,Ventura,4333 Vineyard Avenue,Oxnard,CA,No,1,K-12,9-12,63696.86369098156
56725120118265,Active,No,Traditional,Elementary,Public,Ocean View Early Education,Ocean View,Ventura,4600 Olds Road,Oxnard,CA,Yes,3,P,K,54437.11735465111
56725126055172,Active,No,Traditional,Elementary,Public,Mar Vista Elementary,Ocean View,Ventura,2382 Etting Road,Oxnard,CA,Yes,3,K-5,K-5,54437.11735465111
56725126084891,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Ocean View Junior High,Ocean View,Ventura,4300 Olds Road,Oxnard,CA,Yes,3,6-8,6-8,54437.11735465111
27660766026140,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Lagunita Elementary,Lagunita Elementary,Monterey,975 San Juan Grade Road,Salinas,CA,No,1,K-8,K-8,39595.454181218556
27659616025985,Active,No,Traditional,Elementary,Public,Bardin Elementary,Alisal Union,Monterey,425 Bardin Road,Salinas,CA,No,1,K-6,K-6,37986.66054925201
56725465634548,Active,No,Traditional,High School,Public,Oxnard High,Oxnard Union High,Ventura,3400 West Gonzales Road,Oxnard,CA,No,1,9-12,9-12,36754.551658139455
42691206045272,Active,No,Traditional,Elementary,Public,Bonita Elementary,Santa Maria-Bonita,Santa Barbara,2715 West Main Street,Santa Maria,CA,No,1,K-6,K-6,35468.66107445025
44697996108138,Active,No,Traditional,Elementary,Public,Ohlone Elementary,Pajaro Valley Unified,Monterey,21 Bay Farms Road,Watsonville,CA,No,1,K-5,K-5,35293.55906187628
56725126055180,Active,No,Traditional,Elementary,Public,Tierra Vista Elementary,Ocean View,Ventura,2001 Sanford Street,Oxnard,CA,No,1,K-5,K-5,34399.9722936385
42691200102848,Active,No,Traditional,Elementary,Public,Sanchez (David J.) Elementary,Santa Maria-Bonita,Santa Barbara,804 West Liberty Street,Santa Maria,CA,No,1,K-6,K-6,30302.964407328724
42691206045959,Active,No,Traditional,Elementary,Public,Adam (William Laird) Elementary,Santa Maria-Bonita,Santa Barbara,500 West Windsor,Santa Maria,CA,No,1,K-6,K-6,27573.172434536762
44697996049753,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Pajaro Middle,Pajaro Valley Unified,Monterey,250 Salinas Road,Watsonville,CA,No,1,6-8,6-8,26921.30682257491
42693100102285,Active,No,Traditional,High School,Public,Pioneer Valley High,Santa Maria Joint Union High,Santa Barbara,675 Panther Drive,Santa Maria,CA,No,1,9-12,9-12,26234.42320418993
44697994437794,Active,No,Continuation School,High School,Public,Renaissance High Continuation,Pajaro Valley Unified,Santa Cruz,11 Spring Valley Road,La Selva Beach,CA,No,1,9-12,10-12,23151.92360395756
56724705630363,Active,Yes,Traditional,Elementary - High Combination,Public,Golden Valley Charter,Mesa Union Elementary,Ventura,"3585 Maple Street, Suite 101",Ventura,CA,No,1,K-12,K-12,22371.905788891374
44697996049803,Active,No,Traditional,Elementary,Public,T. S. MacQuiddy Elementary,Pajaro Valley Unified,Santa Cruz,330 Martinelli Street,Watsonville,CA,No,1,K-5,K-5,20951.851711890118
27659610127456,Active,No,Traditional,Elementary,Public,Monte Bella Elementary,Alisal Union,Monterey,1300 Tuscany Boulevard,Salinas,CA,No,1,K-6,K-6,20809.434298613967
56725126055164,Active,No,Traditional,Elementary,Public,Laguna Vista Elementary,Ocean View,Ventura,5084 Etting Road,Oxnard,CA,No,1,K-5,K-5,19262.981415439157
27738256026413,Active,No,Traditional,Elementary,Public,Elkhorn Elementary,North Monterey County Unified,Monterey,2235 Elkhorn Road,Castroville,CA,No,1,K-6,K-6,17309.824409267683
27661592730166,Active,No,Traditional,High School,Public,Everett Alvarez High,Salinas Union High,Monterey,1900 Independence Boulevard,Salinas,CA,No,1,9-12,9-12,15401.825678864461
40687594030557,Active,No,Traditional,High School,Public,Arroyo Grande High,Lucia Mar Unified,San Luis Obispo,495 Valley Road,Arroyo Grande,CA,No,1,8-12,9-12,15007.128588396703
42691206046049,Active,No,Traditional,Elementary,Public,Oakley (Calvin C.) Elementary,Santa Maria-Bonita,Santa Barbara,1120 West Harding Street,Santa Maria,CA,No,1,K-6,K-6,14412.291895055396
27661910122911,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Bolsa Knolls Middle,Santa Rita Union Elementary,Monterey,1031 Rogge Road,Salinas,CA,No,1,6-8,6-8,13938.011343881979
44697996049712,Active,No,Traditional,Elementary,Public,Hall District Elementary,Pajaro Valley Unified,Monterey,300 Sill Road,Watsonville,CA,No,1,K-5,K-5,13908.534492876051
