cds_code,school,district,enroll_total,pounds_0.25,pounds_1
08618206005458,Smith River Elementary,Del Norte County Unified,245,23792.78315211244,230292.02531445512
56725465634761,Rio Mesa High,Oxnard Union High,2333,36978.03498166899,177551.62761000515
24656986025472,Merquin Elementary,Hilmar Unified,122,9380.366607849664,170627.82083354334
42691206045975,Arellanes (Don Juan Bautista) Elementary,Santa Maria-Bonita,285,4861.1504720279045,166511.73886603006
42691206119820,Arellanes Junior High,Santa Maria-Bonita,563,4861.1504720279045,166511.73886603006
27661916102925,Gavilan View Middle,Santa Rita Union Elementary,645,23219.408681766425,156572.8020414843
27738252730034,North Monterey County High,North Monterey County Unified,1255,19154.93748312106,151982.56985028353
27661910122911,Bolsa Knolls Middle,Santa Rita Union Elementary,617,4370.695358270274,148825.0896135765
56105615630223,Providence,Ventura County Office of Education,41,18788.44765196622,143756.22188820943
27661916026652,La Joya Elementary,Santa Rita Union Elementary,527,938.4495803857658,136828.82781574538
50757396053169,Cunningham Elementary,Turlock Unified,586,6211.085692790205,135254.91157592807
27661590136697,Rancho San Juan High,Salinas Union High,1615,1032.0013316195982,130676.24777255527
56725386100333,Lemonwood Elementary,Oxnard,854,2766.5299088443426,123476.09428233276
15637686010037,Semitropic Elementary,Semitropic Elementary,162,12717.788552092694,122686.10559586347
50711750121129,Joseph A. Gregori High,Modesto City High,2288,14890.516067287306,113795.74880760054
42693100102285,Pioneer Valley High,Santa Maria Joint Union High,3156,6228.407035853851,110614.00068366433
42691206045272,Bonita Elementary,Santa Maria-Bonita,542,11875.892935622953,108775.4747643152
24753666025407,El Capitan Elementary,Delhi Unified,348,8875.734864907328,107843.97813487785
44697996108138,Ohlone Elementary,Pajaro Valley Unified,402,10016.234934859976,105433.42844943445
56725616055511,Rio Plaza Elementary,Rio Elementary,513,2131.4999017896093,105216.70916980406
56725386055370,Rose Avenue Elementary,Oxnard,478,3130.779890584756,102057.47722014648
27661916026660,Santa Rita Elementary,Santa Rita Union Elementary,576,,100382.5161834025
52715636053557,Lassen View Elementary,Lassen View Union Elementary,357,9405.357871504133,99136.31529668262
44697996049753,Pajaro Middle,Pajaro Valley Unified,439,6363.460023736054,98640.89384954511
56725120118265,Ocean View Early Education,Ocean View,,3510.623026556194,96578.1312784069
56725126055172,Mar Vista Elementary,Ocean View,464,3510.623026556194,96578.1312784069
56725126084891,Ocean View Junior High,Ocean View,754,3510.623026556194,96578.1312784069
24102496068498,Floyd A. Schelby,Merced County Office of Education,65,9818.842193598332,93588.58197962995
24102492430171,Valley Atwater Community,Merced County Office of Education,10,9872.782791165986,93109.62221278899
39686506109284,Colony Oak Elementary,Ripon Unified,473,14222.1537606734,92383.85177837976
50710926052542,Hart-Ransom Elementary,Hart-Ransom Union Elementary,759,9569.442595704579,91388.36947917985
24737266025803,Washington Elementary,Merced River Union Elementary,237,11077.919264632408,91234.73392180684
39685770118307,Pride Continuation,Linden Unified,44,6737.924783756121,90082.75103402422
27661592730166,Everett Alvarez High,Salinas Union High,2113,7040.738956554173,88580.29203422353
50736016025712,Bonita Elementary,Newman-Crows Landing Unified,141,11545.581579705877,86559.37195443005
50712660124768,Great Valley Academy - Salida,Salida Union Elementary,811,7915.33484593533,85678.89358298756
40687590110486,Lange (Dorothea) Elementary,Lucia Mar Unified,548,2333.297893774524,84773.49792229076
24753660131862,Delhi Middle,Delhi Unified,378,6496.220759365174,80981.12009964985
24753662430114,Delhi High,Delhi Unified,779,6496.220759365174,80981.12009964985
39686500108035,Park View Elementary,Ripon Unified,452,1000.8393182158045,79742.61706910377
50757395036884,Roselawn High,Turlock Unified,204,6589.044063851143,79500.22074302769
50712826053078,Stanislaus Elementary,Stanislaus Union Elementary,323,11169.35694951367,78566.81486719215
56725610112631,Rio Del Mar,Rio Elementary,383,1028.4921910107896,76531.29428075781
50710436052468,Westport Elementary,Ceres Unified,390,6112.363258854692,75780.82691681475
54722236054449,Traver Elementary,Traver Joint Elementary,217,2365.1659499999746,71039.97534743241
50711346119002,Barbara Spratling Middle,Keyes Union,225,1223.682130088731,70145.33490587109
24656316113161,Peggy Heller Elementary,Atwater Elementary,728,15190.944415666881,69285.59220272211
10739656005789,Biola-Pershing Elementary,Central Unified,199,1444.920111889707,69275.73375179394
27659610127456,Monte Bella Elementary,Alisal Union,835,1952.479389234519,68716.5208131183
56725380119412,Juan Lagunas Soria Elementary,Oxnard,929,,68235.23571785704
24753666025415,Schendel Elementary,Delhi Unified,403,,67413.02407874957
44697996117253,Ann Soldo Elementary,Pajaro Valley Unified,392,2170.084704408066,67233.3719063672
37684520118430,Mission Vista High,Vista Unified,1658,2139.652400883247,66790.5528980466
51714230132977,Sutter Peak Charter Academy,Nuestro Elementary,538,5590.02982373789,66628.23030794684
51714236053318,Nuestro Elementary,Nuestro Elementary,185,5590.02982373789,66628.23030794684
33736766032361,Oasis Elementary,Coachella Valley Unified,515,3612.0371866588903,65074.41335056259
24657636025589,McSwain Elementary,McSwain Union Elementary,832,4145.885504825046,62706.338047553894
56725465634548,Oxnard High,Oxnard Union High,2805,3345.9370185849784,61691.31371363361
50710430129106,Patricia Kay Beaver Elementary,Ceres Unified,607,6878.23213832349,61240.00038922776
24656496025381,Ballico-Cressey Community Charter,Ballico-Cressey Elementary,316,2566.0796847258175,61022.2887556933
27659616109466,John E. Steinbeck Elementary,Alisal Union,553,,60661.82673892034
10624306007322,Terry Elementary,Selma Unified,194,4668.537699524204,60503.0894548932
40687596043012,Branch Elementary,Lucia Mar Unified,244,3143.844231911386,60077.64263800182
39685026041834,Van Allen Elementary,Escalon Unified,307,4719.690032396141,59966.029367026844
10622656006837,Riverview Elementary,Kings Canyon Joint Unified,434,4841.022940650548,59419.56524791445
24656982430080,Irwin High (Continuation),Hilmar Unified,36,5117.274520131891,59259.07759883967
24656982430106,Colony Basic Skills Alternative High,Hilmar Unified,2,5117.274520131891,59259.07759883967
24656982432409,Hilmar High,Hilmar Unified,687,5117.274520131891,59259.07759883967
24656986025464,Elim Elementary,Hilmar Unified,962,5117.274520131891,59259.07759883967
24656986109458,Hilmar Middle,Hilmar Unified,517,5117.274520131891,59259.07759883967
15636106009732,Maple Elementary,Maple Elementary,288,5902.596832027371,57596.607323145785
10623806007074,Raisin City Elementary,Raisin City Elementary,275,5284.763215104581,57395.990021461854
39685933935111,Calla High,Manteca Unified,145,3066.138877031221,56636.29111991227
56725616055495,Rio del Valle Middle,Rio Elementary,709,,55730.65272104428
24658700111294,Winfield Elementary,Winton,451,3470.0196361056014,55288.50137975833
56725460136804,Oxnard Middle College High,Oxnard Union High,158,,54900.2113220524
20652430123620,Mountain Vista High,Madera Unified,158,5457.59212742523,54527.734932097585
20652430129544,Eastin Arcola,Madera Unified,211,5457.59212742523,54527.734932097585
50757396053193,Wakefield Elementary,Turlock Unified,695,,54488.70684390849
24656310126771,Bellevue Senior Elementary,Atwater Elementary,166,361.5356681557539,54262.192813308015
24656316025324,Bellevue Elementary,Atwater Elementary,697,361.5356681557539,54262.192813308015
27659616025985,Bardin Elementary,Alisal Union,626,13839.889576771931,54199.36515966085
50710506052492,Mountain View Middle,Chatom Union,186,5482.048228136479,54141.226703892695
39685776041990,Waterloo Elementary,Linden Unified,337,899.0062103432487,54055.717510940725
56725126055180,Tierra Vista Elementary,Ocean View,540,1490.1458191351412,53494.13777556606
56725386110738,Emilie Ritchen Elementary,Oxnard,491,,53434.23311845503
42691200139824,Bill Libbon Elementary,Santa Maria-Bonita,662,0.7381244510996557,53168.25988613719
56725610113977,Rio Vista Middle,Rio Elementary,611,,52962.057990090936
39685936042360,New Haven Elementary,Manteca Unified,489,6456.49920459765,52903.375376678385
42691200102863,Liberty Elementary,Santa Maria-Bonita,884,,52793.52223439517
24658706025837,Sybil N. Crookham Elementary,Winton,396,,52652.534677369695
27659616115232,Creekside Elementary,Alisal Union,571,,51792.267791047045
42691126045264,Benjamin Foxen Elementary,Blochman Union Elementary,177,6876.21191575856,51665.06296869712
