cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,co_mtrs,water_year,pounds_chloropicrin.x,intersection_acres,crops_acres,pounds_chloropicrin.y,intersection_fraction,pounds_chloropicrin_intersection
37768516037543,Active,No,Traditional,Elementary,Public,Bonsall Elementary,Bonsall Unified,San Diego,31555 Old River Road,Bonsall,CA,No,1,K-5,K-5,37S10S03W30,2018,4854.96,7.1390927374465525,100.25008177899464,4854.96,0.07121283704471155,345.73547533859283
37768510110122,Active,No,Traditional,Elementary,Public,Bonsall West Elementary,Bonsall Unified,San Diego,5050 El Mirlo Drive,Oceanside,CA,No,1,K-6,K-6,37S11S04W02,2018,7672.5,1.9350313330885422,47.5750102861848,7672.5,0.04067327198561745,312.0656793096499
37768510110122,Active,No,Traditional,Elementary,Public,Bonsall West Elementary,Bonsall Unified,San Diego,5050 El Mirlo Drive,Oceanside,CA,No,1,K-6,K-6,37S10S04W35,2018,5361.84,67.32645978375366,169.43941666381573,5361.84,0.39734827414648094,2130.5178702495673
37768510110122,Active,No,Traditional,Elementary,Public,Bonsall West Elementary,Bonsall Unified,San Diego,5050 El Mirlo Drive,Oceanside,CA,No,1,K-6,K-6,37S10S04W34,2018,8261.55,96.15884488172861,96.1588448817312,8261.55,0.9999999999999731,8261.549999999777
50711750120212,Active,Yes,Traditional,Intermediate/Middle/Junior High - High Combination,Public,Aspire Vanguard College Preparatory Academy,Modesto City High,Stanislaus,819 Sunset Avenue,Modesto,CA,Yes,3,6-12,6-12,50M03S10E33,2018,1238.49,106.81405069797027,435.7610698538197,1238.49,0.2451206821522677,303.579513638762
43694846111785,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Brownell Middle,Gilroy Unified,Santa Clara,7800 Carmel Street,Gilroy,CA,No,1,6-8,6-8,43M10S04E32,2018,6181.5245124,16.383299637861565,553.4011978904412,6181.5245124,0.029604741912945817,183.00243781815024
43694840114496,Active,No,Traditional,High School,Public,Dr. TJ Owens Gilroy Early College Academy,Gilroy Unified,Santa Clara,"5055 Santa Teresa Boulevard, PB17",Gilroy,CA,No,1,9-12,9-12,43M11S04E20,2018,2345.6379156,61.07044607825571,194.9372157437162,2345.6379156,0.3132826425434586,734.8476446492981
43694846047302,Active,No,Traditional,Elementary,Public,Eliot Elementary,Gilroy Unified,Santa Clara,475 Old Gilroy Street,Gilroy,CA,No,1,K-5,K-5,43M10S04E32,2018,6181.5245124,189.59423689674335,553.4011978904412,6181.5245124,0.3425981685971667,2117.778977086734
43694840123760,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Gilroy Prep (a Navigator School),Gilroy Unified,Santa Clara,277 IOOF Avenue,Gilroy,CA,Yes,2,K-8,K-8,43M10S04E32,2018,6181.5245124,383.0347650007748,553.4011978904412,6181.5245124,0.692146613453131,4278.5212572351775
43694840123760,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Gilroy Prep (a Navigator School),Gilroy Unified,Santa Clara,277 IOOF Avenue,Gilroy,CA,Yes,2,K-8,K-8,43M10S04E29,2018,4009.6375032000005,29.65417012148581,527.620271718566,4009.6375032000005,0.05620362164041988,225.35614914509068
43694846098214,Active,No,Traditional,Intermediate/Middle/Junior High,Public,South Valley Middle,Gilroy Unified,Santa Clara,385 IOOF Avenue,Gilroy,CA,Yes,2,6-8,6-8,43M10S04E32,2018,6181.5245124,383.0347650007748,553.4011978904412,6181.5245124,0.692146613453131,4278.5212572351775
43694846098214,Active,No,Traditional,Intermediate/Middle/Junior High,Public,South Valley Middle,Gilroy Unified,Santa Clara,385 IOOF Avenue,Gilroy,CA,Yes,2,6-8,6-8,43M10S04E29,2018,4009.6375032000005,29.65417012148581,527.620271718566,4009.6375032000005,0.05620362164041988,225.35614914509068
43694846047286,Active,No,Traditional,Elementary,Public,Luigi Aprea Elementary,Gilroy Unified,Santa Clara,9225 Calle del Rey,Gilroy,CA,No,1,K-5,K-5,43M11S03E02,2018,2685.8601,16.3332514722881,18.939269265395588,2685.8601,0.862401354741336,2316.2893888856997
