cds_code,school,district,enroll_total,pounds_0.25,pounds_1
56725465634761,Rio Mesa High,Oxnard Union High,2333,177620.9848315237,855502.7119339858
56105615630223,Providence,Ventura County Office of Education,41,63696.86369098156,575532.6623817709
56725120118265,Ocean View Early Education,Ocean View,,54437.11735465111,493467.6554659623
56725126055172,Mar Vista Elementary,Ocean View,464,54437.11735465111,493467.6554659623
56725126084891,Ocean View Junior High,Ocean View,754,54437.11735465111,493467.6554659623
56725386100333,Lemonwood Elementary,Oxnard,854,7853.105901457966,460327.92833666044
27661916102925,Gavilan View Middle,Santa Rita Union Elementary,645,64701.35727107616,459165.9643261482
56725616055511,Rio Plaza Elementary,Rio Elementary,513,4712.078881429396,448586.04989115393
42693100102285,Pioneer Valley High,Santa Maria Joint Union High,3156,26234.42320418993,447008.81287310895
56725126055180,Tierra Vista Elementary,Ocean View,540,34399.9722936385,424853.55781517987
27661910122911,Bolsa Knolls Middle,Santa Rita Union Elementary,617,13938.011343881979,415404.12261851615
44697996049753,Pajaro Middle,Pajaro Valley Unified,439,26921.30682257491,405876.39833692816
56725465634548,Oxnard High,Oxnard Union High,2805,36754.551658139455,394104.0653429414
56725616055495,Rio del Valle Middle,Rio Elementary,709,65747.9072509014,388471.83467487874
56725460136804,Oxnard Middle College High,Oxnard Union High,158,,386386.294455157
42691206045975,Arellanes (Don Juan Bautista) Elementary,Santa Maria-Bonita,285,10630.050024487018,379439.0604652609
42691206119820,Arellanes Junior High,Santa Maria-Bonita,563,10630.050024487018,379439.0604652609
44697996108138,Ohlone Elementary,Pajaro Valley Unified,402,35293.55906187628,378705.6866882701
27661916026652,La Joya Elementary,Santa Rita Union Elementary,527,2565.1701804915497,376523.42509143264
42691206045272,Bonita Elementary,Santa Maria-Bonita,542,35468.66107445025,374611.45662006736
34322765637780,Mary B. Perry High,California Education Authority (CEA) Headquarters,71,13756.74230642598,373836.943081448
56724705630363,Golden Valley Charter,Mesa Union Elementary,525,22371.905788891374,367098.0729035543
27661590136697,Rancho San Juan High,Salinas Union High,1615,2885.043174006299,355924.84952236473
27659610127456,Monte Bella Elementary,Alisal Union,835,20809.434298613967,348587.04890285805
42691200139824,Bill Libbon Elementary,Santa Maria-Bonita,662,5.287951503080549,328108.33941927634
56725386055370,Rose Avenue Elementary,Oxnard,478,8887.07036681344,320322.3485552778
56725380119412,Juan Lagunas Soria Elementary,Oxnard,929,,309599.01704880426
56725126055164,Laguna Vista Elementary,Ocean View,402,19262.981415439157,307057.8058096539
40687590110486,Lange (Dorothea) Elementary,Lucia Mar Unified,548,4714.035425318636,303021.4785733266
27661916026660,Santa Rita Elementary,Santa Rita Union Elementary,576,,300293.51368963235
42691200102863,Liberty Elementary,Santa Maria-Bonita,884,,299635.40161615604
42691206046049,Oakley (Calvin C.) Elementary,Santa Maria-Bonita,844,14412.291895055396,276600.3512939223
27659616025985,Bardin Elementary,Alisal Union,626,37986.66054925201,243617.3654237253
27659616117691,Oscar F. Loya Elementary,Alisal Union,628,13260.523733150623,238969.10402898522
37684520118430,Mission Vista High,Vista Unified,1658,6741.304168284095,223570.03259973682
27661592730109,Alisal High,Salinas Union High,3008,2447.9486456476097,223516.4873686095
56725610112631,Rio Del Mar,Rio Elementary,383,2273.444654683251,220972.78088909658
44697996117253,Ann Soldo Elementary,Pajaro Valley Unified,392,7214.583876854147,219769.78244800185
42691206107007,Battles (Washington) Elementary,Santa Maria-Bonita,690,,202761.29763559316
56726526056055,Blanche Reynolds Elementary,Ventura Unified,250,3078.4896342577963,196881.88965685148
56726526115687,Homestead (Alternative),Ventura Unified,181,3078.4896342577963,196881.88965685148
27661592730166,Everett Alvarez High,Salinas Union High,2113,15401.825678864461,195569.41507674605
56725380100362,Thurgood Marshall Elementary,Oxnard,779,,194411.040985272
44697994437901,Watsonville High,Pajaro Valley Unified,2396,500.62417133931547,191232.56306455072
56725616055529,Rio Real Elementary,Rio Elementary,698,255.24651578091385,185668.22727618853
56724626055057,Fred L. Williams Elementary,Hueneme Elementary,568,,184715.1063720042
44697996112841,Lakeview Middle,Pajaro Valley Unified,479,10910.944559318856,183646.08654252617
27660766026140,Lagunita Elementary,Lagunita Elementary,94,39595.454181218556,169624.42497898123
42691206046015,Fesler (Isaac) Junior High,Santa Maria-Bonita,958,,165439.53894092666
56726525637814,Ventura Adult and Continuing Education,Ventura Unified,,8912.109355113005,164657.79805819382
56726526056105,Junipero Serra Elementary,Ventura Unified,439,136.8063134655485,164380.2401810192
56725386110738,Emilie Ritchen Elementary,Oxnard,491,,164051.64668806895
56725610113977,Rio Vista Middle,Rio Elementary,611,,163139.3511434867
42691206109268,Ontiveros (Juan Pacifico) Elementary,Santa Maria-Bonita,850,,159431.7508141833
42691200131623,Jiménez Roberto and Dr. Francisco Elementary,Santa Maria-Bonita,1020,485.1193435787974,158286.09919625556
44697996049803,T. S. MacQuiddy Elementary,Pajaro Valley Unified,494,20951.851711890118,156040.6079924597
44697994437794,Renaissance High Continuation,Pajaro Valley Unified,90,23151.92360395756,154895.21445767145
44697996049720,Linscott Charter,Pajaro Valley Unified,253,,153838.91782233745
42691206046031,Miller (Isaac) Elementary,Santa Maria-Bonita,889,,149093.4528206221
27659616025977,Alisal Community,Alisal Union,562,,144519.27266677393
47736846050843,Butte Valley Elementary,Butte Valley Unified,202,10219.760288199435,142713.40362194247
27661426066963,University Park Elementary,Salinas City Elementary,493,12286.056659718244,134701.39912095986
27659616115232,Creekside Elementary,Alisal Union,571,,129108.4372780808
42693104234613,Ernest Righetti High,Santa Maria Joint Union High,2520,,126862.91237794443
27659616109466,John E. Steinbeck Elementary,Alisal Union,553,,126244.3516360443
56726526056212,Sheridan Way Elementary,Ventura Unified,400,5320.138808148937,125699.52262447751
44697996049712,Hall District Elementary,Pajaro Valley Unified,496,13908.534492876051,125165.88772637688
44697990117804,Ceiba College Preparatory Academy,Pajaro Valley Unified,511,,119830.17587292462
56725616118061,Rio Rosales,Rio Elementary,462,12948.248870895719,118917.5296472177
27738252730125,North Monterey County Center for Independent Study,North Monterey County Unified,270,517.088415431396,116963.26403848812
27738252730141,Central Bay High (Continuation),North Monterey County Unified,48,517.088415431396,116963.26403848812
44697994430229,Pacific Coast Charter,Pajaro Valley Unified,169,710.6602694888521,116839.29929098986
42691200102855,Kunst (Tommie) Junior High,Santa Maria-Bonita,992,,115954.01846303932
56725386107551,Christa McAuliffe Elementary,Oxnard,534,,114589.30980653767
42691200102848,Sanchez (David J.) Elementary,Santa Maria-Bonita,646,30302.964407328724,114440.0036987879
44697996049688,E. A. Hall Middle,Pajaro Valley Unified,601,,112955.78519248293
44772480138909,Watsonville Prep,SBE - Watsonville Prep,308,,112844.52777597561
56725465631742,Channel Islands High,Oxnard Union High,2923,,111175.08115297245
27738256026413,Elkhorn Elementary,North Monterey County Unified,558,17309.824409267683,109156.18495638909
42691206046007,Fairlawn Elementary,Santa Maria-Bonita,778,,104884.41002955366
42692290100651,Mission Valley,Lompoc Unified,100,195.5691987523129,104632.55694573178
42692296045629,La Honda STEAM Academy,Lompoc Unified,495,195.5691987523129,104632.55694573178
27660276026108,Graves Elementary,Graves Elementary,35,646.6049973693895,102534.97501293906
56726526056170,Pierpont Elementary,Ventura Unified,275,,98857.18036714452
56725610137018,Rio del Sol,Rio Elementary,791,,98781.01248836385
56725530110502,Rancho Rosal Elementary,Pleasant Valley,554,,98637.3608620879
27661916120224,McKinnon,Santa Rita Union Elementary,377,2431.038786054857,96846.74204019002
44697996049746,Mintie White Elementary,Pajaro Valley Unified,518,,95174.68554893832
44697996049639,Amesti Elementary,Pajaro Valley Unified,486,2358.217340525044,92664.17459703471
42691206046064,Bruce (Robert) Elementary,Santa Maria-Bonita,908,,89751.73771157496
42692606045736,Alice Shaw Elementary,Orcutt Union Elementary,485,,89504.50686287157
56726526097034,Portola Elementary,Ventura Unified,519,7.32693687534524,87385.15823475775
27738256026447,Prunedale Elementary,North Monterey County Unified,637,64.62031393524406,87137.92437670159
27661426026579,Mission Park Elementary,Salinas City Elementary,592,,86464.93226404843
27661596118129,La Paz Middle,Salinas Union High,1156,,84547.67571112372
27661910107391,New Republic Elementary,Santa Rita Union Elementary,564,1739.694305032599,83585.76415269001
56726525630272,Pacific High,Ventura Unified,199,,83563.48037769327
27659616113542,Cesar E. Chavez Elementary,Alisal Union,682,,83321.4048480641
44104470136572,Santa Cruz County Career Advancement Charter,Santa Cruz County Office of Education,119,166.7368345238449,81993.34997448469
42691206045959,Adam (William Laird) Elementary,Santa Maria-Bonita,860,27573.172434536762,81947.28805942857
42693104236030,Santa Maria High,Santa Maria Joint Union High,3186,,80572.8272505412
56726526056147,Montalvo Elementary,Ventura Unified,399,,71504.6973432645
42692296045645,Leonora Fillmore Elementary,Lompoc Unified,525,,70644.35643393753
27662256026694,Spreckels Elementary,Spreckels Union Elementary,604,,69514.58605047814
27738252730034,North Monterey County High,North Monterey County Unified,1255,3121.1651303136496,68401.62698069231
44697996049829,Alianza Charter,Pajaro Valley Unified,664,10276.195727862476,68084.99403613596
44697996119077,Watsonville Charter School of the Arts,Pajaro Valley Unified,393,10276.195727862476,68084.99403613596
56725386055321,Cesar E. Chavez Elementary,Oxnard,983,,67543.84304646078
27659616101802,Frank Paul Elementary,Alisal Union,658,,66986.9337385683
27661426026553,Loma Vista Elementary,Salinas City Elementary,463,,65776.16557607835
56725460125674,Condor High,Oxnard Union High,486,4.834810725238351,65409.00236565454
42692606045744,Ralph Dunlap Elementary,Orcutt Union Elementary,469,,65044.42411372297
56725386055313,Fremont Academy of Environmental Science & Innovative Design,Oxnard,761,,64332.42368315757
44697996049704,H. A. Hyde Elementary,Pajaro Valley Unified,468,,62305.614333553334
40687596043095,Oceano Elementary,Lucia Mar Unified,379,40.03583094726886,60881.335459602444
56725386055362,Ramona Elementary,Oxnard,508,,59558.50002982415
47736844730081,Cascade High,Butte Valley Unified,,86.07840308680404,57780.41270847538
47736844731253,Butte Valley High,Butte Valley Unified,79,86.07840308680404,57780.41270847538
47736846114607,Picard Community Day Elementary,Butte Valley Unified,,86.07840308680404,57780.41270847538
56725386055289,Elm Street Elementary,Oxnard,503,,57755.662083243864
40687596043053,Harloe Elementary,Lucia Mar Unified,587,1203.6471209449708,57338.69197755184
35752596049654,Aromas,Aromas - San Juan Unified,359,5075.088269308325,56879.0513993268
56726526056238,Will Rogers Elementary,Ventura Unified,436,,56598.05646779176
27661596058770,Washington Middle,Salinas Union High,1116,,56327.46704706839
