use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag,year,water_year,error_id,error_code,error_type,duplicate_set,error_description,comments
665960,34485,573,97.5,18737.039685,19217.4766,1891,GA,634.87,A,56,A,1,2017-03-20,1130,24,M,05,S,12,E,08,12-01,24175005474,,,F,3001,0,2409,1769,1,A,24M05S12E08,X,2017,2017,53919,60,POSSIBLE,,area planted is greater than 110% of the area for its section,
665573,44204,136,34.7,9954.338338,28686.854,2570,GA,634.87,A,56,A,1,2017-03-20,1130,24,M,05,S,12,E,08,12-01,24175005474,,,F,3001,0,2409,2057,1,A,24M05S12E08,X,2017,2017,53068,60,POSSIBLE,,area planted is greater than 110% of the area for its section,
665573,44204,573,63.4,18187.465436,28686.854,2570,GA,634.87,A,56,A,1,2017-03-20,1130,24,M,05,S,12,E,08,12-01,24175005474,,,F,3001,0,2409,2057,1,A,24M05S12E08,X,2017,2017,53068,60,POSSIBLE,,area planted is greater than 110% of the area for its section,
3564345,34485,573,97.5,4149.19908,4255.5888,418.75,GA,167,A,12.5,A,1,2017-11-24,1230,39,M,02,S,08,E,01,3-1,39173903083,,,F,3001,0,3901,3777,1,A,39M02S08E01,X,2017,2018,219802,80,POSSIBLE,14481,record is an erroneous duplicate of another record,
2850178,10570,136,99,4.145625,4.1875,67,OZ,,,,,31,2017-07-01,,42,,,,,,,,,PR6145,,,10,0,4206,805,1,C,,X,2017,2017,176303,39,INCONSISTENT,,commodity (site code) is not on the list of commodities for which this pesticide is registered,"The reported site, 10, was not on the label for this pesticide product, 5785-58-AA-5785 (prodno = 10570), and was not on any other product which matched the product's 2 or 3-part registration number."
2850101,10570,136,99,5.011875,5.0625,81,OZ,,,,,36,2017-08-01,,42,,,,,,,,,PR6145,,,10,0,4206,1309,1,C,,X,2017,2017,176293,39,INCONSISTENT,,commodity (site code) is not on the list of commodities for which this pesticide is registered,"The reported site, 10, was not on the label for this pesticide product, 5785-58-AA-5785 (prodno = 10570), and was not on any other product which matched the product's 2 or 3-part registration number."
2850176,10570,136,99,3.58875,3.625,58,OZ,,,,,24,2017-06-01,,42,,,,,,,,,PR6145,,,10,0,4206,803,1,C,,X,2017,2017,176302,39,INCONSISTENT,,commodity (site code) is not on the list of commodities for which this pesticide is registered,"The reported site, 10, was not on the label for this pesticide product, 5785-58-AA-5785 (prodno = 10570), and was not on any other product which matched the product's 2 or 3-part registration number."
1380407,34485,573,97.5,2378.0484,2439.024,240,GA,30,A,30,A,1,2017-05-12,1800,44,M,11,S,02,W,20,010024,4417440381A,,,F,13006,0,4404,293,1,A,44M11S02W20,X,2017,2017,117144,47,INCONSISTENT,,area treated is greater than the area planted,
3908541,10541,136,33,542.85,1645,1645,LB,6.25,A,4.7,A,1,2017-05-19,0600,44,M,12,S,01,E,12,1A,44174500019,,,F,1016,0,4402,1,1,A,44M12S01E12,X,2017,2017,233863,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3908542,16718,136,99,2321.55,2345,2345,LB,11,A,6.7,A,1,2017-08-14,0630,44,M,11,S,02,E,22,2A,4417440306A,,,F,1016,0,4402,2,1,A,44M11S02E22,X,2017,2017,233864,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3923325,67449,573,19.5,1293.575166,6633.7188,512,GA,19.3,A,19.3,A,1,2017-07-15,0930,44,M,12,S,02,E,01,5A,4417440806A,,,F,1006,0,4406,1447,1,A,44M12S02E01,X,2017,2017,234359,47,INCONSISTENT,,area treated is greater than the area planted,
3910199,16718,136,99,415.8,420,420,LB,6,A,1.2,A,1,2017-10-31,0700,44,M,11,S,02,E,05,2A,4417441107A,,,F,1002,0,4405,2,1,A,44M11S02E05,X,2017,2018,233878,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3908548,46821,136,94,5904.14,6281,6281,LB,34,A,29.7,A,1,2017-10-10,0700,44,M,12,S,01,E,11,1A,4417441070A,,,F,1016,0,4402,8,1,A,44M12S01E11,X,2017,2018,233869,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3911582,34485,573,97.5,649.999935,666.6666,65.6,GA,8.2,A,8.2,A,1,2017-10-20,1130,44,M,11,S,02,W,18,070007,441727P016A,,,F,13006,0,4409,337,1,A,44M11S02W18,X,2017,2018,233932,47,INCONSISTENT,,area treated is greater than the area planted,
3908547,46821,136,94,1618.68,1722,1722,LB,10,A,8.61,A,1,2017-10-31,0700,44,M,11,S,02,E,34,4A,4417440064A,,,F,1016,0,4402,7,1,A,44M11S02E34,X,2017,2018,233868,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3908546,46821,136,94,1316,1400,1400,LB,8,A,7,A,1,2017-11-10,0730,44,M,11,S,02,E,34,3A,4417440064A,,,F,1016,0,4402,6,1,A,44M11S02E34,X,2017,2018,233867,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
