county,fips,name,area_sqmi,land_area_acres,population,housing_units,households,svi,socioeconomic_svi,household_svi,racial_svi,housing_transport_svi,median_household_income,pc_poverty,pc_age_17_and_below,pc_latino,pc_limited_english,pc_born_central_america,median_household_income_relative,pc_age_17_and_below_relative,pc_poverty_relative,pc_latino_relative,pc_limited_english_relative,pc_born_central_america_relative,pounds_13d_2018_2022,pounds_chloropicrin_2018_2022,pounds_13d_per_100_acres_2018_2022,pounds_chloropicrin_per_100_acres_2018_2022,pounds_13d_per_1000_people_2018_2022,pounds_chloropicrin_per_1000_people_2018_2022
Alameda County,06001400100,Census Tract 4001; Alameda County; California,2.681808893312,1716.3557468800002,3269,1496,1377,0.1598,0.0527,0.5783,0.134,0.2353,234236,4.4,20.2,5.1,0.4,1.8,2.54867526249932,1.6694214876033058,0.19730941704035876,0.12846347607052894,0.0449438202247191,0.1487603305785124,,,,,,
Alameda County,06001400200,Census Tract 4002; Alameda County; California,0.22647198912,144.94190880000002,2147,913,876,0.1827,0.1008,0.1454,0.1261,0.5632,225500,7.5,16.3,7.4,0.7,1.6,2.453620586475165,1.347107438016529,0.3363228699551569,0.18639798488664988,0.07865168539325842,0.1322314049586777,,,,,,
Alameda County,06001400300,Census Tract 4003; Alameda County; California,0.42889754568,274.4941182,5619,2851,2638,0.2366,0.1872,0.1687,0.2432,0.5062,164000,7.1,16.8,10.1,0.3,1.4,1.7844513356183016,1.3884297520661157,0.3183856502242152,0.2544080604534005,0.033707865168539325,0.11570247933884296,,,,,,
Alameda County,06001400400,Census Tract 4004; Alameda County; California,0.276502314076,176.96128049,4278,1975,1760,0.1451,0.0581,0.1609,0.1865,0.4582,158836,9.9,22,7.2,0.5,1.9,1.728262880147979,1.8181818181818183,0.4439461883408072,0.181360201511335,0.056179775280898875,0.15702479338842976,,,,,,
Alameda County,06001400500,Census Tract 4005; Alameda County; California,0.228349989248,146.14382752,3949,1820,1679,0.2148,0.4501,0.0408,0.4302,0.2419,95078,10.4,12.6,15.5,0.9,2.7,1.0345247810238833,1.0413223140495869,0.4663677130044843,0.3904282115869017,0.10112359550561797,0.22314049586776863,,,,,,
Alameda County,06001400600,Census Tract 4006; Alameda County; California,0.115002797312,73.60170688000001,2058,817,768,0.2489,0.1376,0.0581,0.4013,0.7641,155893,8.6,16.3,6.5,0.4,1.1,1.696240683314292,1.347107438016529,0.3856502242152466,0.163727959697733,0.0449438202247191,0.09090909090909093,,,,,,
Alameda County,06001400700,Census Tract 4007; Alameda County; California,0.334032670382,213.780666805,4758,2193,2012,0.2492,0.1806,0.2948,0.3557,0.3942,110556,10,17.6,9.9,1.5,0.7,1.202937816223274,1.4545454545454548,0.44843049327354256,0.24937027707808562,0.16853932584269662,0.05785123966942148,,,,,,
Alameda County,06001400800,Census Tract 4008; Alameda County; California,0.280239395334,179.353009785,4335,1988,1885,0.296,0.2271,0.2762,0.3215,0.5022,97132,11.1,12.7,8.9,3.1,2.3,1.05687394592242,1.0495867768595042,0.4977578475336323,0.22418136020151133,0.34831460674157305,0.19008264462809915,,,,,,
Alameda County,06001400900,Census Tract 4009; Alameda County; California,0.157661662884,100.90334991,2844,1274,1113,0.1687,0.274,0.0534,0.4741,0.2781,114583,4.9,16.2,18.7,4.8,6.3,1.246754801153365,1.3388429752066116,0.21973094170403587,0.4710327455919395,0.5393258426966292,0.5206611570247934,,,,,,
Alameda County,06001401000,Census Tract 4010; Alameda County; California,0.443631198,283.923645,6277,2674,2302,0.3187,0.3656,0.051,0.5133,0.6076,153654,11.3,16.5,22.1,2.6,5.8,1.6718785702627714,1.3636363636363638,0.5067264573991032,0.5566750629722922,0.29213483146067415,0.4793388429752066,,,,,,
Alameda County,06001401100,Census Tract 4011; Alameda County; California,0.337195231864,215.80470386000002,5537,2706,2649,0.4854,0.5718,0.0628,0.423,0.7858,93121,10.8,13.8,11.9,5.8,7.4,1.01323105380556,1.1404958677685952,0.484304932735426,0.29974811083123426,0.6516853932584269,0.6115702479338844,,,,,,
